job_id,dataset_path,target_col,variant,seed,lookback,hidden_dim,num_layers,dropout,lr,weight_decay,n_samples,n_pids,overall_r2,fold_r2_mean,fold_r2_std,elapsed_sec
stype_w6_s1_h20_archnew_swc_only_tip_seed100,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_20wk_weight_change,swc_only_tip,100,4,64,2,0.2,0.001,0.001,2216,108,0.2908170067619048,0.2094944357872009,0.1661408720304176,36.69148635864258
swcA_w3_s1_h20_archnew_supportwc_seed3333,/home/chris/Documents/mlife/data/cleaned/sweeps/sweep_window3_stride1.csv,next_20wk_weight_change,supportwc,3333,4,64,2,0.2,0.001,0.001,2570,110,0.270570519278933,0.2190258383750915,0.1068573391156518,45.01877188682556
swcA_w12_s1_h20_archold_supportwc_seed5555,/home/chris/Documents/mlife/data/cleaned/sweeps/sweep_window12_stride1.csv,next_20wk_weight_change,supportwc,5555,4,32,2,0.3,0.001,0.001,1583,93,0.2273348375534308,0.1652313351631164,0.1990751045292976,18.96324253082275
swcA_w12_s1_h20_archnew_supportwc_seed69,/home/chris/Documents/mlife/data/cleaned/sweeps/sweep_window12_stride1.csv,next_20wk_weight_change,supportwc,69,4,64,2,0.2,0.001,0.001,1583,93,0.2497966759325015,0.1867250442504882,0.2043129147211528,26.982181072235107
swcC_w6_s3_h20_archnew_supportwc_seed7777,/home/chris/Documents/mlife/data/cleaned/sweeps/sweep_window6_stride3.csv,next_20wk_weight_change,supportwc,7777,4,64,2,0.2,0.001,0.001,558,95,0.3205785726853378,0.3376400351524353,0.2337166290572151,10.789143800735474
stype_w6_s1_h20_archold_swc_only_diet_seed200,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_20wk_weight_change,swc_only_diet,200,4,32,2,0.3,0.001,0.001,2216,108,0.3220150580053951,0.2601553440093994,0.1454063624997391,45.11467146873474
swcB_w6_s1_h12_archnew_supportwc_seed1234,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_12wk_weight_change,supportwc,1234,4,64,2,0.2,0.001,0.001,3037,114,0.215804716238767,0.1203133463859558,0.1150286244636999,38.16599655151367
stype_w6_s1_h20_archold_swc_only_diet_seed5678,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_20wk_weight_change,swc_only_diet,5678,4,32,2,0.3,0.001,0.001,2216,108,0.3141773042132817,0.2525446653366089,0.1470293969208344,39.75748920440674
stype_w6_s1_h20_archold_swc_no_tip_seed42,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_20wk_weight_change,swc_no_tip,42,4,32,2,0.3,0.001,0.001,2216,108,0.3050250058659621,0.2407243609428405,0.1890746657050576,41.308884382247925
swcC_w6_s3_h20_archold_supportwc_seed400,/home/chris/Documents/mlife/data/cleaned/sweeps/sweep_window6_stride3.csv,next_20wk_weight_change,supportwc,400,4,32,2,0.3,0.001,0.001,558,95,0.2705029382709691,0.2531321287155151,0.2427626503478024,10.688748598098757
swcA_w5_s1_h20_archnew_supportwc_seed1024,/home/chris/Documents/mlife/data/cleaned/sweeps/sweep_window5_stride1.csv,next_20wk_weight_change,supportwc,1024,4,64,2,0.2,0.001,0.001,2332,109,0.3084950163508509,0.2510164260864257,0.1390847008983472,48.986907958984375
lkb_w6_s1_h20_archold_wconly_lkb12_seed8888,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_20wk_weight_change,wconly,8888,12,32,2,0.3,0.001,0.001,1404,95,0.3060644808793368,0.2396745562553405,0.2534061905171596,27.14088535308838
swcB_w6_s1_h4_archold_wconly_seed200,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_4wk_weight_change,wconly,200,4,32,2,0.3,0.001,0.001,3893,118,0.1684081756247041,0.1649072885513305,0.1167076801378321,85.23146963119507
swcB_w6_s1_h8_archold_wconly_seed100,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_8wk_weight_change,wconly,100,4,32,2,0.3,0.001,0.001,3467,116,0.2048275299046434,0.1487521886825561,0.1410325843281609,51.66651248931885
stype_w6_s1_h20_archold_swc_only_tip_seed456,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_20wk_weight_change,swc_only_tip,456,4,32,2,0.3,0.001,0.001,2216,108,0.2810442938532993,0.2014960527420043,0.1663345922197684,30.382960557937626
swcA_w5_s1_h20_archold_supportwc_seed31337,/home/chris/Documents/mlife/data/cleaned/sweeps/sweep_window5_stride1.csv,next_20wk_weight_change,supportwc,31337,4,32,2,0.3,0.001,0.001,2332,109,0.3208022532905205,0.268004834651947,0.1652886219274461,43.664636850357056
swcC_w6_s5_h20_archnew_supportwc_seed456,/home/chris/Documents/mlife/data/cleaned/sweeps/sweep_window6_stride5.csv,next_20wk_weight_change,supportwc,456,4,64,2,0.2,0.001,0.001,232,83,0.3262031708321774,0.1523587584495544,0.385157098268669,4.971801996231079
swcB_w6_s1_h26_archold_wconly_seed100,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_26wk_weight_change,wconly,100,4,32,2,0.3,0.001,0.001,1616,99,0.3420256558416394,0.2395490407943725,0.254171960602308,22.50719404220581
stype_w6_s1_h20_archnew_swc_only_tip_seed42,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_20wk_weight_change,swc_only_tip,42,4,64,2,0.2,0.001,0.001,2216,108,0.2847108742944139,0.2043177008628845,0.1684885106774343,30.521170377731323
swcA_w2_s1_h20_archnew_supportwc_seed69,/home/chris/Documents/mlife/data/cleaned/sweeps/sweep_window2_stride1.csv,next_20wk_weight_change,supportwc,69,4,64,2,0.2,0.001,0.001,2691,110,0.2254316026565167,0.1819150805473327,0.091202618753963,44.26603651046753
lkb_w6_s1_h20_archnew_wconly_lkb6_seed300,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_20wk_weight_change,wconly,300,6,64,2,0.2,0.001,0.001,2002,104,0.2975793651943487,0.2307733416557312,0.2092659369246633,33.869606494903564
swcC_w6_s3_h20_archnew_wconly_seed5555,/home/chris/Documents/mlife/data/cleaned/sweeps/sweep_window6_stride3.csv,next_20wk_weight_change,wconly,5555,4,64,2,0.2,0.001,0.001,558,95,0.2560626477826637,0.2539004921913147,0.2717541059514404,10.467904567718506
lkb_w6_s1_h20_archold_supportwc_lkb8_seed42,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_20wk_weight_change,supportwc,42,8,32,2,0.3,0.001,0.001,1796,101,0.3035344902582029,0.2612288236618042,0.091712876631874,25.23234510421753
lkb_w6_s1_h20_archold_supportwc_lkb12_seed9999,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_20wk_weight_change,supportwc,9999,12,32,2,0.3,0.001,0.001,1404,95,0.2211390978680102,0.1637815952301025,0.1941067178455849,18.185566663742065
stype_w6_s1_h20_archold_swc_no_diet_seed100,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_20wk_weight_change,swc_no_diet,100,4,32,2,0.3,0.001,0.001,2216,108,0.3274343871280573,0.2464169859886169,0.2079144076404125,46.73427057266235
swcA_w8_s1_h20_archold_supportwc_seed1234,/home/chris/Documents/mlife/data/cleaned/sweeps/sweep_window8_stride1.csv,next_20wk_weight_change,supportwc,1234,4,32,2,0.3,0.001,0.001,1990,104,0.2387512863567328,0.1687657475471496,0.1015837978597525,27.023979663848877
lkb_w6_s1_h20_archold_wconly_lkb6_seed31337,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_20wk_weight_change,wconly,31337,6,32,2,0.3,0.001,0.001,2002,104,0.2806498415730927,0.2147603034973144,0.2021335461033863,28.595075845718384
swcB_w6_s1_h4_archold_wconly_seed123,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_4wk_weight_change,wconly,123,4,32,2,0.3,0.001,0.001,3893,118,0.1568831948948854,0.1541970372200012,0.1344304578895893,72.57835006713867
swcA_w2_s1_h20_archold_wconly_seed42,/home/chris/Documents/mlife/data/cleaned/sweeps/sweep_window2_stride1.csv,next_20wk_weight_change,wconly,42,4,32,2,0.3,0.001,0.001,2691,110,0.2491476572193544,0.1898823976516723,0.0779892583538895,48.794607162475586
stype_w6_s1_h20_archold_swc_only_weight_seed8888,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_20wk_weight_change,swc_only_weight,8888,4,32,2,0.3,0.001,0.001,2216,108,0.2841283780567001,0.2128568887710571,0.1587200382842149,34.47002983093262
stype_w6_s1_h20_archold_swc_no_diet_seed9999,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_20wk_weight_change,swc_no_diet,9999,4,32,2,0.3,0.001,0.001,2216,108,0.2998317720206486,0.2198498487472534,0.222853187725048,38.20965003967285
lkb_w6_s1_h20_archnew_supportwc_lkb8_seed200,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_20wk_weight_change,supportwc,200,8,64,2,0.2,0.001,0.001,1796,101,0.3303077775520537,0.2981757640838623,0.0801836017654434,25.47516942024231
swcC_w6_s5_h20_archnew_supportwc_seed100,/home/chris/Documents/mlife/data/cleaned/sweeps/sweep_window6_stride5.csv,next_20wk_weight_change,supportwc,100,4,64,2,0.2,0.001,0.001,232,83,0.3522384806612192,0.1752710819244384,0.4130794498471025,6.262085676193237
swcB_w6_s1_h8_archnew_supportwc_seed200,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_8wk_weight_change,supportwc,200,4,64,2,0.2,0.001,0.001,3467,116,0.207673674888497,0.1430705428123474,0.1383193027955643,46.113391160964966
swcA_w8_s1_h20_archnew_supportwc_seed8888,/home/chris/Documents/mlife/data/cleaned/sweeps/sweep_window8_stride1.csv,next_20wk_weight_change,supportwc,8888,4,64,2,0.2,0.001,0.001,1990,104,0.2629453217628392,0.1901364207267761,0.1012510578516993,35.19712591171265
swcB_w6_s1_h4_archold_supportwc_seed200,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_4wk_weight_change,supportwc,200,4,32,2,0.3,0.001,0.001,3893,118,0.1723912214271238,0.1674331068992614,0.1167319132583264,57.08714175224304
